Timestamp,Temperature,Gas,LDR,Fire,Temp_Status,Gas_Status,LDR_Status,Fire_Status
2025-04-18 08:39:31,44,266,86,01FE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,29,272,250,03BE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,248,231,07FE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,42,202,1,070E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,47,255,147,02FE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,213,159,116E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,37,226,210,0FFE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,48,298,119,0D7E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,3,274,36,0BBE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,16,280,144,02CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,22,291,9,10CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,42,261,269,0E4E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,14,284,218,0BBE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,37,208,282,0A8E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,7,284,58,04CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,30,288,287,117E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,4,230,145,044E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,41,288,241,111E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,3,229,156,06CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,41,295,148,0B9E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,24,285,261,0A0E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,229,40,0CEE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,33,298,278,0ACE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,24,235,71,0D1E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,10,244,89,106E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,5,280,186,119E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,11,245,170,122E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,46,238,60,0C3E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,11,299,44,0E3E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,24,288,9,05AE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,31,212,61,04CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,8,296,27,0CEE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,9,215,238,10AE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,39,251,180,059E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,37,260,103,0B3E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,35,209,46,0AAE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,32,248,118,055E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,42,203,37,0D7E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,11,205,210,059E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,38,231,66,115E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,47,290,278,02CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,20,231,153,112E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,35,288,11,030E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,26,293,47,017E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,18,246,19,0EDE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,12,215,287,120E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,42,234,185,052E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,22,258,191,11EE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,47,205,108,0DDE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,48,240,9,0BBE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,288,137,0C6E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,0,218,160,0A9E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,42,230,146,077E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,37,220,148,095E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,40,297,175,0E2E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,34,242,210,082E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,38,277,55,0ACE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,40,292,171,0D2E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,18,295,201,017E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,3,203,255,0B8E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,20,256,285,0F0E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,232,271,11EE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,3,226,263,037E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,15,276,255,03CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,36,226,189,0BFE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,9,263,16,016E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,5,242,98,08EE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,9,223,289,050E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,18,249,44,091E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,7,236,251,127E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,46,237,10,03AE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,46,201,196,123E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,38,210,152,0BFE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,2,247,222,111E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,18,299,175,0A3E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,255,244,0E7E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,39,264,232,025E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,39,297,109,0C4E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,40,245,95,03DE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,41,290,69,05AE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,28,295,249,08DE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,5,266,48,014E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,47,216,248,020E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,5,229,190,018E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,30,276,26,00EE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,3,263,35,076E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,47,271,146,0A1E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,36,256,136,10BE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,31,284,75,0D3E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,45,217,186,120E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,49,209,194,01CE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,15,274,206,04FE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,40,272,13,099E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,46,268,275,102E,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,50,241,293,0BCE,Normal,Normal,Bright,Strong Flame
2025-04-18 08:39:31,37,278,56,05DE,Normal,Normal,Bright,Strong Flame
