IR Sensor,Smoke (PPM),Temperature (°C),O2 Level (%),Voltage (V),Fire Risk Level
0,377.3558505403157,40.5271835812715,19.00639985430176,4.545736438757203,2
1,144.52163200345854,54.35360878382454,19.90682195117852,4.775700120498242,2
0,190.64058510741089,33.71938369952113,18.6903458832301,5.196666525696269,2
0,449.7361104741195,61.54290578311793,20.600648014080136,4.786065851293403,2
0,166.58172870001496,20.34062074376562,16.453106012751984,4.549380864987007,2
0,63.71405572096947,24.13100557009116,19.90164374940992,5.106242407068374,1
1,172.81012408650105,79.99150275064113,19.25128738952678,4.687155735492985,2
1,406.78834738014007,22.35685035536085,14.058406914553046,4.869331394181251,2
0,217.96519443456415,65.44270277474766,18.371147246459685,4.900005432447341,2
0,52.47142941526858,60.52751958464648,17.467418794275748,5.052407509659364,2
0,383.9398947411096,21.50429858429432,19.027742838290543,4.973542210760443,2
0,477.274031332261,70.37442467320027,14.182216993626788,4.694838369395326,2
1,252.5927288405875,41.64786187777769,19.539607348097487,4.826913764224092,2
1,594.036920731429,33.40514868499203,14.413011715523648,4.95521810086187,2
0,388.37929217479984,51.35687205012992,15.2971077351017,4.68828298501544,2
0,312.8805948386502,74.10981352335996,19.81777446416954,4.524379520416269,2
0,460.34167040313184,77.9021103794261,14.649942022160737,4.622058118835704,2
1,539.5499421196416,63.28642057415136,18.599700241788916,5.076626305865523,2
0,494.5248424495813,42.50334440580988,17.599223185491027,4.883539296130576,2
1,523.1707934048836,61.48509034749749,15.21126726157834,4.91755469448556,2
0,575.2113992125625,70.73143294401345,17.445332624367296,5.01307557320982,2
0,112.94607857299502,43.7345801902045,14.607132420139305,4.598083674844591,2
0,427.4209413506613,23.01032774248065,20.560979508252306,4.56920312622794,2
0,267.11612259681186,50.1128426024402,14.449197338568723,4.867344557896737,2
0,198.85287036344783,56.344170424937374,19.11038053394256,5.078659744885083,2
0,69.19863406728918,64.63377690843905,19.4801018859188,4.799628920848373,2
0,116.5277355986382,63.73398920411017,17.403808188444,5.174347303155471,2
0,275.30146383494565,50.759203391303885,14.54853755128214,4.501347881361996,2
1,517.5020774579491,40.075503082899466,17.872998085122482,4.847804585594365,2
0,422.2577086994273,36.29780751867344,20.46422471790937,4.600287017042227,2
0,354.33825765601586,40.41071820981053,14.125195276381971,4.764821670467208,2
0,242.7257605760848,57.354445615623206,20.145434366902403,5.1444540280167175,2
0,227.3272207162092,45.350762981863234,15.195118367014716,4.889599326032978,2
0,348.5166259396338,45.65248707333318,17.53882450974103,5.157826101238801,2
0,265.32965579452787,41.19964462825477,17.35160434572774,4.911074641444669,2
0,554.276194946663,43.73779475281822,16.939619239282678,5.033302496629124,2
0,200.69992169025744,46.73975100205354,20.51224203824549,4.930722046055436,2
0,356.88571625332656,51.99676032641461,14.687111235656024,5.056774819311126,2
0,407.70578465304334,41.43431375944507,17.168286747606057,4.805120738638652,2
0,572.6421439784301,58.33115972637052,19.656877618961683,5.128468175975517,2
0,530.1534874237096,43.60133764385357,15.816577918840176,5.18918568254791,2
1,297.7974920995532,46.5355193750095,16.91604987175512,4.880453779200556,2
1,166.99461333977,43.86059168187829,17.159672543957246,5.102447493208963,2
1,226.25262584158511,53.13158640921666,16.049910224257523,4.69703706166652,2
0,216.58959598603144,42.63577797456803,19.60145706698659,4.896016291006404,2
0,109.7026587963584,58.11709886296609,17.6546880842422,4.7022616790469085,2
0,314.0230574230004,76.190611451986,17.926007077105115,4.696859061998614,2
0,85.35399576583902,44.325607705921854,17.324868245864543,4.673841391430912,1
1,115.61623380856363,21.77404268746546,18.72397440604712,4.812336980959017,1
1,115.46839803207448,74.86891549211114,18.009550802381156,4.76372423107814,2
1,337.3085338058612,53.269632658985,17.565535508242537,4.6374440800312895,2
0,155.36139162748185,49.89426650988162,16.5287492007571,5.063489566755536,2
0,443.55239654617486,78.39756655492977,15.06828279455324,4.580598452664298,2
1,103.18244135496488,74.81084087260157,18.974741158438228,4.535790506824728,2
1,211.54928464072896,63.39698597729624,15.003302446361534,5.137072451233164,2
0,141.57845036132673,33.70358060029612,17.3400677109884,5.0560332214556505,1
0,121.61082023832726,30.78884772595027,16.913827375189495,4.795175012989365,2
0,301.7694437685271,39.61483471034933,18.517318405528016,5.121201680044187,2
1,76.20266801701196,75.26356028265495,18.441251382327472,4.596526301503672,2
0,416.26596589285725,64.25908639116872,16.65106744088882,4.878495268271645,2
1,104.06101607592468,76.65934029699478,20.13180918047913,5.105346093696659,2
0,344.2175104045535,79.23411767275277,20.17661317206163,5.156392714061752,2
0,539.9861738853737,48.642090550927314,15.70335659807404,4.78855483296913,2
0,144.90943539644454,25.00016214870352,18.257377920014186,4.538729006412658,1
0,150.11626363588033,23.76831928957764,15.4070630903261,4.998643815531774,2
0,216.26534532288437,67.09843443980299,19.08270614206899,4.724136225722473,2
0,193.99723762745336,56.76736571900015,20.3676696980522,4.520571658874279,2
0,108.42236483421462,36.12930966775473,19.51318673446412,4.720059944535031,1
0,62.01160411227801,24.22560022065885,18.05378243665196,4.919165544564501,1
0,533.985704427801,68.3607160617668,15.954752161444995,5.045529493605888,2
0,482.03656426817895,26.060656548843603,16.64209416755189,4.896633971549935,2
0,507.1102637099762,35.00770775593407,16.78545391303113,4.657801053726921,2
1,352.7962075492088,43.477967316402925,19.38679897841869,4.69166985385906,2
0,394.43127757021415,50.5815854102683,19.5305008037488,5.135493036181254,2
0,62.87972132824923,55.50773348271247,15.639913624885812,4.80754795790185,2
